OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3709,2022-029Q,2026-06-28T14:00:01.000224,15.18093842,.00006036,53.1593,300.8859,124.7169,185.4236,0,U,52102,999,579,.95794703E-3,.19506E-3,0
STARLINK-3705,2022-029R,2026-06-28T14:00:01.000224,15.18144482,.00008346,53.1607,300.8539,79.2166,33.0384,0,U,52103,999,579,.8483018E-3,.17257E-3,0
STARLINK-3706,2022-029T,2026-06-28T14:00:01.000224,15.17836597,.00018521,53.1607,300.7433,52.7967,150.1708,0,U,52105,999,569,.9839115E-3,.19895E-3,0
STARLINK-3670,2022-029U,2026-06-28T14:00:01.000224,15.31113188,.00014359,53.1611,309.9322,103.3259,48.5650,0,U,52106,999,564,.34976844E-1,.1155729E-1,0
STARLINK-3658,2022-029V,2026-06-28T14:00:01.000224,15.18580069,.00014797,53.1608,300.7983,68.3816,131.4418,0,U,52107,999,580,.11404915E-2,.23629E-3,0
STARLINK-3698,2022-029W,2026-06-28T14:00:01.000224,15.18708538,.00016048,53.1613,300.7925,78.6618,84.0232,0,U,52108,999,574,.10720607E-2,.22271E-3,0
STARLINK-3687,2022-029Y,2026-06-28T14:00:01.000224,15.18409149,.00014252,53.1612,300.8002,66.3663,112.1538,0,U,52110,999,575,.99106831E-3,.2038E-3,0
STARLINK-3708,2022-029Z,2026-06-28T14:00:01.000224,15.18285196,.00015581,53.1603,300.8331,78.8338,163.2979,0,U,52111,999,579,.12063906E-2,.24803E-3,0
STARLINK-3734,2022-029AA,2026-06-28T14:00:01.000224,15.59426308,.00009701,53.2173,284.8890,60.6462,116.7513,0,U,52112,999,559,.32675392E-2,.271696E-2,0
STARLINK-3736,2022-029AB,2026-06-28T14:00:01.000224,15.21005896,.00016584,53.1604,300.5212,80.5683,3.5736,0,U,52113,999,574,.69980674E-3,.15424E-3,0
STARLINK-3737,2022-029AC,2026-06-28T14:00:01.000224,15.19308057,.00013153,53.1594,300.7017,75.5983,214.1785,0,U,52114,999,579,.1152963E-2,.24406E-3,0
STARLINK-3685,2022-029AD,2026-06-28T14:00:01.000224,15.30000787,.0001057,53.1648,299.8175,82.5252,42.7483,0,U,52115,999,574,.45641455E-2,.136478E-2,0
STARLINK-3735,2022-029AE,2026-06-28T14:00:01.000224,15.20538526,.00009527,53.1590,300.6631,98.4009,251.8231,0,U,52116,999,569,.95830824E-3,.20966E-3,0
STARLINK-3738,2022-029AF,2026-06-28T14:00:01.000224,15.19588992,.00006333,53.1605,300.6853,76.4425,2.8290,0,U,52117,999,579,.73793832E-3,.15615E-3,0
STARLINK-3743,2022-029AG,2026-06-28T14:00:01.000224,15.18799422,.0000547,53.1593,300.8154,114.2214,197.2305,0,U,52118,999,569,.947523E-3,.19692E-3,0
STARLINK-3558,2022-029AH,2026-06-28T14:00:01.000224,15.27158873,.0001022,53.1601,299.8996,78.9491,84.9673,0,U,52119,999,579,.13107827E-2,.35187E-3,0
STARLINK-3534,2022-029AJ,2026-06-28T14:00:01.000224,15.30940902,.00015856,53.1598,299.7479,87.6546,91.2859,0,U,52120,999,579,.20853988E-2,.63377E-3,0
STARLINK-3678,2022-029AK,2026-06-28T14:04:56.794080,15.08829937,.00012879,53.1608,291.1178,90.7211,269.3928,0,U,52121,999,23766,.17736128E-4,-.6E-7,0
STARLINK-3726,2022-029AL,2026-06-28T14:00:01.000224,15.18935976,.0000675,53.1599,300.7808,97.6551,312.6451,0,U,52122,999,564,.82011997E-3,.17063E-3,0
STARLINK-3725,2022-029AM,2026-06-28T13:29:11.916672,15.08832952,.00009647,53.1578,291.0523,93.7241,266.3861,0,U,52123,999,23767,.11699722E-3,.1574E-4,0
STARLINK-3727,2022-029AP,2026-06-28T13:49:02.620128,15.08837414,.0001169,53.1593,291.1666,83.9901,276.1223,0,U,52125,999,23767,.31058707E-4,.206E-5,0
